timestamp,cpu_percent,memory_percent
66.8857753276825,0.0,29.3
107.52006649971008,0.6,29.4
118.88364815711975,0.0,29.4
132.26232504844666,0.0,29.4
169.00115323066711,0.0,29.4
227.44543361663818,0.0,29.4
271.1971335411072,0.6,29.4
358.93098521232605,0.6,19.7
400.90341782569885,0.0,19.7
465.6402077674866,0.0,19.7
496.6861023902893,0.0,19.7
520.0044422149658,0.0,19.7
587.2150466442108,0.0,19.7
607.5227670669556,0.0,19.7
635.3765571117401,0.0,19.7
644.1342666149139,0.0,19.7
750.2568469047546,0.0,19.7
796.1889851093292,0.0,19.7
868.8754744529724,0.0,19.7
959.0955381393433,0.0,19.7
1025.6783964633942,0.0,19.7
1089.2942914962769,0.0,19.7
1179.4584510326385,0.0,19.7
1198.2650678157806,0.0,19.7
1215.377061843872,0.0,19.7
1236.5605237483978,0.0,19.7
1254.2689898014069,0.0,19.7
1301.2668280601501,0.6,19.7
1324.9227674007416,0.0,19.7
1371.0265374183655,0.0,19.7
1429.2625818252563,0.6,19.7
1469.1364741325378,0.0,19.7
1489.1665942668915,0.6,19.7
1509.4275116920471,0.0,19.7
1563.106508731842,0.0,19.7
1603.9302654266357,0.0,19.7
1681.7379801273346,0.0,19.7
1769.9366543293,0.0,19.7
1798.4700772762299,0.0,19.7
1870.549147605896,0.0,19.7
1887.4480166435242,0.6,19.7
1946.603530883789,0.0,19.7
2027.8565542697906,0.0,19.7
2060.5832583904266,0.0,19.7
2104.3825237751007,0.0,19.7
2180.0578360557556,0.0,19.7
2212.548152446747,0.6,19.7
2257.9200036525726,0.0,19.7
2288.8344309329987,0.0,19.7
2335.1815457344055,0.0,19.7
2355.012055158615,0.0,19.7
2369.350961446762,0.0,19.7
2379.514720916748,0.0,19.7
2390.2360184192657,0.0,19.7
2407.521110534668,0.0,19.7
2423.0687956809998,0.0,19.7
2467.569091796875,0.0,19.7
2475.8371500968933,0.0,19.7
2551.2702736854553,0.0,19.7
2620.0990874767303,0.0,19.7
2637.765184879303,0.0,19.7
2662.0567524433136,0.0,19.7
2696.9640974998474,0.6,19.7
2746.7672057151794,0.0,19.7
2807.7591733932495,0.0,19.7
2851.715131521225,0.0,19.7
2900.815684080124,0.0,19.7
2954.304497241974,0.0,19.7
3010.9251515865326,0.0,19.7
3062.2088408470154,0.0,19.7
3120.913464784622,0.0,19.7
3159.5595376491547,0.0,19.7
3176.4602127075195,0.0,19.7
3199.7171342372894,0.6,19.7
3212.4604721069336,0.6,19.7
3241.8524861335754,0.0,19.7
3295.4491708278656,0.0,19.7
3346.876530647278,0.0,19.7
3367.886538743973,0.0,19.7
3383.055157184601,0.0,19.7
3442.7315459251404,0.0,19.7
3459.4862027168274,0.0,19.7
3570.388457775116,0.0,19.7
3641.950663805008,0.0,19.7
3690.4953713417053,0.0,19.7
3768.052248477936,0.0,19.7
3828.50204706192,0.0,19.7
3875.232109069824,0.6,19.7
3925.2613286972046,0.0,19.7
3971.5118749141693,0.6,19.7
3989.541441679001,0.0,19.7
4073.9630904197693,0.0,19.7
4090.9968235492706,0.0,19.7
4150.997101068497,0.0,19.7
4195.204236984253,0.0,19.7
4284.35674238205,0.0,19.7
4322.931321620941,0.0,19.7
4411.1568338871,0.0,19.7
4445.20121216774,0.0,19.7
4490.679938793182,0.0,19.7
